Year,R2,RMSE,MAPE,d
2009,0.8514563106796117,0.38737864077669903,16.899224806201552,0.7751937984496124
2010,0.8184466019417477,0.3844660194174757,15.348837209302324,0.7457364341085271
2011,0.6825242718446602,0.5097087378640777,23.72093023255814,0.7038759689922479
2012,0.7825242718446602,0.3737864077669903,11.511627906976745,0.7255813953488373
2013,0.8233009708737864,0.529126213592233,17.558139534883722,0.7023255813953488
2014,0.8077669902912622,0.3592233009708738,11.705426356589149,0.7767441860465116
2015,0.8320388349514564,0.41067961165048544,16.97674418604651,0.7341085271317829
2016,0.8572815533980583,0.3339805825242718,10.542635658914726,0.7984496124031009
